quarter,year,quarter_number,quarter_start,local_authority,completions
2014Q4,2014,4,2014-10-01,Sligo County Council,18
2014Q4,2014,4,2014-10-01,Tipperary County Council,38
2014Q4,2014,4,2014-10-01,Waterford City & County Council,34
2014Q4,2014,4,2014-10-01,Westmeath County Council,34
2014Q4,2014,4,2014-10-01,Wicklow County Council,54
2014Q4,2014,4,2014-10-01,Wexford County Council,68
2015Q1,2015,1,2015-01-01,Cork City Council,30
2015Q1,2015,1,2015-01-01,Clare County Council,22
2015Q1,2015,1,2015-01-01,Cavan County Council,17
2015Q1,2015,1,2015-01-01,Cork County Council,108
2015Q1,2015,1,2015-01-01,Carlow County Council,17
2015Q1,2015,1,2015-01-01,Dublin City Council,132
2015Q1,2015,1,2015-01-01,Dún Laoghaire Rathdown County Council,63
2015Q1,2015,1,2015-01-01,Donegal County Council,51
2015Q1,2015,1,2015-01-01,Fingal County Council,180
2015Q1,2015,1,2015-01-01,Galway County Council,63
2015Q1,2015,1,2015-01-01,Galway City Council,10
2015Q1,2015,1,2015-01-01,Kildare County Council,107
2015Q1,2015,1,2015-01-01,Kilkenny County Council,18
2015Q1,2015,1,2015-01-01,Kerry County Council,30
2015Q1,2015,1,2015-01-01,Longford County Council,6
2015Q1,2015,1,2015-01-01,Louth County Council,67
2015Q1,2015,1,2015-01-01,Limerick City & County Council,36
2015Q1,2015,1,2015-01-01,Leitrim County Council,11
2015Q1,2015,1,2015-01-01,Laois County Council,16
2015Q1,2015,1,2015-01-01,Meath County Council,53
2015Q1,2015,1,2015-01-01,Monaghan County Council,21
2015Q1,2015,1,2015-01-01,Mayo County Council,36
2015Q1,2015,1,2015-01-01,Offaly County Council,17
2015Q1,2015,1,2015-01-01,Roscommon County Council,10
2015Q1,2015,1,2015-01-01,South Dublin County Council,70
2015Q1,2015,1,2015-01-01,Sligo County Council,16
2015Q1,2015,1,2015-01-01,Tipperary County Council,36
2015Q1,2015,1,2015-01-01,Waterford City & County Council,17
2015Q1,2015,1,2015-01-01,Westmeath County Council,11
2015Q1,2015,1,2015-01-01,Wicklow County Council,51
2015Q1,2015,1,2015-01-01,Wexford County Council,49
2015Q2,2015,2,2015-04-01,Cork City Council,36
2015Q2,2015,2,2015-04-01,Clare County Council,39
2015Q2,2015,2,2015-04-01,Cavan County Council,12
2015Q2,2015,2,2015-04-01,Cork County Council,141
2015Q2,2015,2,2015-04-01,Carlow County Council,15
2015Q2,2015,2,2015-04-01,Dublin City Council,95
2015Q2,2015,2,2015-04-01,Dún Laoghaire Rathdown County Council,54
2015Q2,2015,2,2015-04-01,Donegal County Council,67
2015Q2,2015,2,2015-04-01,Fingal County Council,239
2015Q2,2015,2,2015-04-01,Galway County Council,74
2015Q2,2015,2,2015-04-01,Galway City Council,15
2015Q2,2015,2,2015-04-01,Kildare County Council,145
2015Q2,2015,2,2015-04-01,Kilkenny County Council,23
2015Q2,2015,2,2015-04-01,Kerry County Council,40
2015Q2,2015,2,2015-04-01,Longford County Council,19
2015Q2,2015,2,2015-04-01,Louth County Council,27
2015Q2,2015,2,2015-04-01,Limerick City & County Council,33
2015Q2,2015,2,2015-04-01,Leitrim County Council,10
2015Q2,2015,2,2015-04-01,Laois County Council,21
2015Q2,2015,2,2015-04-01,Meath County Council,78
2015Q2,2015,2,2015-04-01,Monaghan County Council,26
2015Q2,2015,2,2015-04-01,Mayo County Council,44
2015Q2,2015,2,2015-04-01,Offaly County Council,21
2015Q2,2015,2,2015-04-01,Roscommon County Council,24
2015Q2,2015,2,2015-04-01,South Dublin County Council,50
2015Q2,2015,2,2015-04-01,Sligo County Council,9
2015Q2,2015,2,2015-04-01,Tipperary County Council,38
2015Q2,2015,2,2015-04-01,Waterford City & County Council,42
2015Q2,2015,2,2015-04-01,Westmeath County Council,20
2015Q2,2015,2,2015-04-01,Wicklow County Council,60
2015Q2,2015,2,2015-04-01,Wexford County Council,53
2015Q3,2015,3,2015-07-01,Cork City Council,33
2015Q3,2015,3,2015-07-01,Clare County Council,34
2015Q3,2015,3,2015-07-01,Cavan County Council,24
2015Q3,2015,3,2015-07-01,Cork County Council,162
2015Q3,2015,3,2015-07-01,Carlow County Council,34
2015Q3,2015,3,2015-07-01,Dublin City Council,112
2015Q3,2015,3,2015-07-01,Dún Laoghaire Rathdown County Council,92
2015Q3,2015,3,2015-07-01,Donegal County Council,58
2015Q3,2015,3,2015-07-01,Fingal County Council,263
2015Q3,2015,3,2015-07-01,Galway County Council,99
2015Q3,2015,3,2015-07-01,Galway City Council,14
2015Q3,2015,3,2015-07-01,Kildare County Council,163
2015Q3,2015,3,2015-07-01,Kilkenny County Council,33
2015Q3,2015,3,2015-07-01,Kerry County Council,57
2015Q3,2015,3,2015-07-01,Longford County Council,13
2015Q3,2015,3,2015-07-01,Louth County Council,30
2015Q3,2015,3,2015-07-01,Limerick City & County Council,64
2015Q3,2015,3,2015-07-01,Leitrim County Council,17
2015Q3,2015,3,2015-07-01,Laois County Council,25
2015Q3,2015,3,2015-07-01,Meath County Council,88
2015Q3,2015,3,2015-07-01,Monaghan County Council,28
2015Q3,2015,3,2015-07-01,Mayo County Council,65
2015Q3,2015,3,2015-07-01,Offaly County Council,54
2015Q3,2015,3,2015-07-01,Roscommon County Council,20
2015Q3,2015,3,2015-07-01,South Dublin County Council,96
2015Q3,2015,3,2015-07-01,Sligo County Council,22
2015Q3,2015,3,2015-07-01,Tipperary County Council,44
2015Q3,2015,3,2015-07-01,Waterford City & County Council,94
2015Q3,2015,3,2015-07-01,Westmeath County Council,26
2015Q3,2015,3,2015-07-01,Wicklow County Council,102
2015Q3,2015,3,2015-07-01,Wexford County Council,67
2015Q4,2015,4,2015-10-01,Cork City Council,93
2015Q4,2015,4,2015-10-01,Clare County Council,51
2015Q4,2015,4,2015-10-01,Cavan County Council,38
2015Q4,2015,4,2015-10-01,Cork County Council,175
2015Q4,2015,4,2015-10-01,Carlow County Council,33
2015Q4,2015,4,2015-10-01,Dublin City Council,146
2015Q4,2015,4,2015-10-01,Dún Laoghaire Rathdown County Council,86
2015Q4,2015,4,2015-10-01,Donegal County Council,69
2015Q4,2015,4,2015-10-01,Fingal County Council,349
2015Q4,2015,4,2015-10-01,Galway County Council,102
2015Q4,2015,4,2015-10-01,Galway City Council,12
2015Q4,2015,4,2015-10-01,Kildare County Council,162
2015Q4,2015,4,2015-10-01,Kilkenny County Council,36
2015Q4,2015,4,2015-10-01,Kerry County Council,65
2015Q4,2015,4,2015-10-01,Longford County Council,12
2015Q4,2015,4,2015-10-01,Louth County Council,47
2015Q4,2015,4,2015-10-01,Limerick City & County Council,79
2015Q4,2015,4,2015-10-01,Leitrim County Council,17
2015Q4,2015,4,2015-10-01,Laois County Council,22
2015Q4,2015,4,2015-10-01,Meath County Council,106
2015Q4,2015,4,2015-10-01,Monaghan County Council,44
2015Q4,2015,4,2015-10-01,Mayo County Council,51
2015Q4,2015,4,2015-10-01,Offaly County Council,20
2015Q4,2015,4,2015-10-01,Roscommon County Council,16
2015Q4,2015,4,2015-10-01,South Dublin County Council,90
2015Q4,2015,4,2015-10-01,Sligo County Council,27
2015Q4,2015,4,2015-10-01,Tipperary County Council,53
2015Q4,2015,4,2015-10-01,Waterford City & County Council,44
2015Q4,2015,4,2015-10-01,Westmeath County Council,28
2015Q4,2015,4,2015-10-01,Wicklow County Council,80
2015Q4,2015,4,2015-10-01,Wexford County Council,92
2016Q1,2016,1,2016-01-01,Cork City Council,67
2016Q1,2016,1,2016-01-01,Clare County Council,37
2016Q1,2016,1,2016-01-01,Cavan County Council,20
2016Q1,2016,1,2016-01-01,Cork County Council,129
2016Q1,2016,1,2016-01-01,Carlow County Council,15
2016Q1,2016,1,2016-01-01,Dublin City Council,175
2016Q1,2016,1,2016-01-01,Dún Laoghaire Rathdown County Council,276
2016Q1,2016,1,2016-01-01,Donegal County Council,57
2016Q1,2016,1,2016-01-01,Fingal County Council,277
2016Q1,2016,1,2016-01-01,Galway County Council,78
2016Q1,2016,1,2016-01-01,Galway City Council,19
2016Q1,2016,1,2016-01-01,Kildare County Council,119
2016Q1,2016,1,2016-01-01,Kilkenny County Council,22
2016Q1,2016,1,2016-01-01,Kerry County Council,42
2016Q1,2016,1,2016-01-01,Longford County Council,15
2016Q1,2016,1,2016-01-01,Louth County Council,37
2016Q1,2016,1,2016-01-01,Limerick City & County Council,58
2016Q1,2016,1,2016-01-01,Leitrim County Council,9
2016Q1,2016,1,2016-01-01,Laois County Council,25
2016Q1,2016,1,2016-01-01,Meath County Council,88
2016Q1,2016,1,2016-01-01,Monaghan County Council,19
2016Q1,2016,1,2016-01-01,Mayo County Council,40
2016Q1,2016,1,2016-01-01,Offaly County Council,18
2016Q1,2016,1,2016-01-01,Roscommon County Council,14
2016Q1,2016,1,2016-01-01,South Dublin County Council,62
2016Q1,2016,1,2016-01-01,Sligo County Council,13
2016Q1,2016,1,2016-01-01,Tipperary County Council,34
2016Q1,2016,1,2016-01-01,Waterford City & County Council,37
2016Q1,2016,1,2016-01-01,Westmeath County Council,24
2016Q1,2016,1,2016-01-01,Wicklow County Council,53
2016Q1,2016,1,2016-01-01,Wexford County Council,57
2016Q2,2016,2,2016-04-01,Cork City Council,67
2016Q2,2016,2,2016-04-01,Clare County Council,48
2016Q2,2016,2,2016-04-01,Cavan County Council,47
2016Q2,2016,2,2016-04-01,Cork County Council,161
2016Q2,2016,2,2016-04-01,Carlow County Council,17
2016Q2,2016,2,2016-04-01,Dublin City Council,233
2016Q2,2016,2,2016-04-01,Dún Laoghaire Rathdown County Council,153
2016Q2,2016,2,2016-04-01,Donegal County Council,82
2016Q2,2016,2,2016-04-01,Fingal County Council,367
2016Q2,2016,2,2016-04-01,Galway County Council,107
2016Q2,2016,2,2016-04-01,Galway City Council,27
2016Q2,2016,2,2016-04-01,Kildare County Council,152
2016Q2,2016,2,2016-04-01,Kilkenny County Council,38
2016Q2,2016,2,2016-04-01,Kerry County Council,67
2016Q2,2016,2,2016-04-01,Longford County Council,15
2016Q2,2016,2,2016-04-01,Louth County Council,58
2016Q2,2016,2,2016-04-01,Limerick City & County Council,63
2016Q2,2016,2,2016-04-01,Leitrim County Council,18
2016Q2,2016,2,2016-04-01,Laois County Council,27
2016Q2,2016,2,2016-04-01,Meath County Council,143
2016Q2,2016,2,2016-04-01,Monaghan County Council,20
2016Q2,2016,2,2016-04-01,Mayo County Council,49
2016Q2,2016,2,2016-04-01,Offaly County Council,18
2016Q2,2016,2,2016-04-01,Roscommon County Council,27
2016Q2,2016,2,2016-04-01,South Dublin County Council,87
2016Q2,2016,2,2016-04-01,Sligo County Council,21
2016Q2,2016,2,2016-04-01,Tipperary County Council,43
2016Q2,2016,2,2016-04-01,Waterford City & County Council,30
2016Q2,2016,2,2016-04-01,Westmeath County Council,21
2016Q2,2016,2,2016-04-01,Wicklow County Council,80
2016Q2,2016,2,2016-04-01,Wexford County Council,82
2016Q3,2016,3,2016-07-01,Cork City Council,54
2016Q3,2016,3,2016-07-01,Clare County Council,55
2016Q3,2016,3,2016-07-01,Cavan County Council,43
2016Q3,2016,3,2016-07-01,Cork County Council,197
2016Q3,2016,3,2016-07-01,Carlow County Council,24
2016Q3,2016,3,2016-07-01,Dublin City Council,251
2016Q3,2016,3,2016-07-01,Dún Laoghaire Rathdown County Council,222
2016Q3,2016,3,2016-07-01,Donegal County Council,73
2016Q3,2016,3,2016-07-01,Fingal County Council,232
2016Q3,2016,3,2016-07-01,Galway County Council,102
2016Q3,2016,3,2016-07-01,Galway City Council,37
2016Q3,2016,3,2016-07-01,Kildare County Council,141
2016Q3,2016,3,2016-07-01,Kilkenny County Council,47
2016Q3,2016,3,2016-07-01,Kerry County Council,78
2016Q3,2016,3,2016-07-01,Longford County Council,13
2016Q3,2016,3,2016-07-01,Louth County Council,39
2016Q3,2016,3,2016-07-01,Limerick City & County Council,58
2016Q3,2016,3,2016-07-01,Leitrim County Council,14
2016Q3,2016,3,2016-07-01,Laois County Council,21
2016Q3,2016,3,2016-07-01,Meath County Council,186
2016Q3,2016,3,2016-07-01,Monaghan County Council,21
2016Q3,2016,3,2016-07-01,Mayo County Council,67
2016Q3,2016,3,2016-07-01,Offaly County Council,19
2016Q3,2016,3,2016-07-01,Roscommon County Council,24
2016Q3,2016,3,2016-07-01,South Dublin County Council,130
2016Q3,2016,3,2016-07-01,Sligo County Council,31
2016Q3,2016,3,2016-07-01,Tipperary County Council,47
2016Q3,2016,3,2016-07-01,Waterford City & County Council,51
2016Q3,2016,3,2016-07-01,Westmeath County Council,30
2016Q3,2016,3,2016-07-01,Wicklow County Council,87
2016Q3,2016,3,2016-07-01,Wexford County Council,56
2016Q4,2016,4,2016-10-01,Cork City Council,86
2016Q4,2016,4,2016-10-01,Clare County Council,85
2016Q4,2016,4,2016-10-01,Cavan County Council,35
2016Q4,2016,4,2016-10-01,Cork County Council,181
2016Q4,2016,4,2016-10-01,Carlow County Council,26
2016Q4,2016,4,2016-10-01,Dublin City Council,223
2016Q4,2016,4,2016-10-01,Dún Laoghaire Rathdown County Council,317
2016Q4,2016,4,2016-10-01,Donegal County Council,72
2016Q4,2016,4,2016-10-01,Fingal County Council,355
2016Q4,2016,4,2016-10-01,Galway County Council,101
2016Q4,2016,4,2016-10-01,Galway City Council,30
2016Q4,2016,4,2016-10-01,Kildare County Council,219
2016Q4,2016,4,2016-10-01,Kilkenny County Council,47
2016Q4,2016,4,2016-10-01,Kerry County Council,62
2016Q4,2016,4,2016-10-01,Longford County Council,16
2016Q4,2016,4,2016-10-01,Louth County Council,65
2016Q4,2016,4,2016-10-01,Limerick City & County Council,85
2016Q4,2016,4,2016-10-01,Leitrim County Council,17
2016Q4,2016,4,2016-10-01,Laois County Council,27
2016Q4,2016,4,2016-10-01,Meath County Council,182
2016Q4,2016,4,2016-10-01,Monaghan County Council,28
2016Q4,2016,4,2016-10-01,Mayo County Council,89
2016Q4,2016,4,2016-10-01,Offaly County Council,30
2016Q4,2016,4,2016-10-01,Roscommon County Council,17
2016Q4,2016,4,2016-10-01,South Dublin County Council,191
2016Q4,2016,4,2016-10-01,Sligo County Council,22
2016Q4,2016,4,2016-10-01,Tipperary County Council,34
2016Q4,2016,4,2016-10-01,Waterford City & County Council,96
2016Q4,2016,4,2016-10-01,Westmeath County Council,30
2016Q4,2016,4,2016-10-01,Wicklow County Council,132
2016Q4,2016,4,2016-10-01,Wexford County Council,66
2017Q1,2017,1,2017-01-01,Cork City Council,95
2017Q1,2017,1,2017-01-01,Clare County Council,58
2017Q1,2017,1,2017-01-01,Cavan County Council,35
2017Q1,2017,1,2017-01-01,Cork County Council,186
2017Q1,2017,1,2017-01-01,Carlow County Council,16
2017Q1,2017,1,2017-01-01,Dublin City Council,220
2017Q1,2017,1,2017-01-01,Dún Laoghaire Rathdown County Council,374
2017Q1,2017,1,2017-01-01,Donegal County Council,75
2017Q1,2017,1,2017-01-01,Fingal County Council,291
2017Q1,2017,1,2017-01-01,Galway County Council,111
2017Q1,2017,1,2017-01-01,Galway City Council,36
2017Q1,2017,1,2017-01-01,Kildare County Council,193
2017Q1,2017,1,2017-01-01,Kilkenny County Council,42
2017Q1,2017,1,2017-01-01,Kerry County Council,54
2017Q1,2017,1,2017-01-01,Longford County Council,9
2017Q1,2017,1,2017-01-01,Louth County Council,75
2017Q1,2017,1,2017-01-01,Limerick City & County Council,76
2017Q1,2017,1,2017-01-01,Leitrim County Council,13
2017Q1,2017,1,2017-01-01,Laois County Council,28
2017Q1,2017,1,2017-01-01,Meath County Council,176
2017Q1,2017,1,2017-01-01,Monaghan County Council,22
2017Q1,2017,1,2017-01-01,Mayo County Council,37
2017Q1,2017,1,2017-01-01,Offaly County Council,30
2017Q1,2017,1,2017-01-01,Roscommon County Council,17
2017Q1,2017,1,2017-01-01,South Dublin County Council,149
2017Q1,2017,1,2017-01-01,Sligo County Council,20
2017Q1,2017,1,2017-01-01,Tipperary County Council,33
2017Q1,2017,1,2017-01-01,Waterford City & County Council,59
2017Q1,2017,1,2017-01-01,Westmeath County Council,22
2017Q1,2017,1,2017-01-01,Wicklow County Council,99
2017Q1,2017,1,2017-01-01,Wexford County Council,89
2017Q2,2017,2,2017-04-01,Cork City Council,76
2017Q2,2017,2,2017-04-01,Clare County Council,49
2017Q2,2017,2,2017-04-01,Cavan County Council,38
2017Q2,2017,2,2017-04-01,Cork County Council,238
2017Q2,2017,2,2017-04-01,Carlow County Council,26
2017Q2,2017,2,2017-04-01,Dublin City Council,318
2017Q2,2017,2,2017-04-01,Dún Laoghaire Rathdown County Council,346
2017Q2,2017,2,2017-04-01,Donegal County Council,93
2017Q2,2017,2,2017-04-01,Fingal County Council,343
2017Q2,2017,2,2017-04-01,Galway County Council,102
2017Q2,2017,2,2017-04-01,Galway City Council,37
2017Q2,2017,2,2017-04-01,Kildare County Council,215
2017Q2,2017,2,2017-04-01,Kilkenny County Council,38
2017Q2,2017,2,2017-04-01,Kerry County Council,79
2017Q2,2017,2,2017-04-01,Longford County Council,18
2017Q2,2017,2,2017-04-01,Louth County Council,62
2017Q2,2017,2,2017-04-01,Limerick City & County Council,88
2017Q2,2017,2,2017-04-01,Leitrim County Council,22
2017Q2,2017,2,2017-04-01,Laois County Council,26
2017Q2,2017,2,2017-04-01,Meath County Council,229
2017Q2,2017,2,2017-04-01,Monaghan County Council,38
2017Q2,2017,2,2017-04-01,Mayo County Council,72
2017Q2,2017,2,2017-04-01,Offaly County Council,34
2017Q2,2017,2,2017-04-01,Roscommon County Council,18
2017Q2,2017,2,2017-04-01,South Dublin County Council,248
2017Q2,2017,2,2017-04-01,Sligo County Council,24
2017Q2,2017,2,2017-04-01,Tipperary County Council,47
2017Q2,2017,2,2017-04-01,Waterford City & County Council,72
2017Q2,2017,2,2017-04-01,Westmeath County Council,29
2017Q2,2017,2,2017-04-01,Wicklow County Council,127
2017Q2,2017,2,2017-04-01,Wexford County Council,81
2017Q3,2017,3,2017-07-01,Cork City Council,88
2017Q3,2017,3,2017-07-01,Clare County Council,84
2017Q3,2017,3,2017-07-01,Cavan County Council,27
2017Q3,2017,3,2017-07-01,Cork County Council,237
2017Q3,2017,3,2017-07-01,Carlow County Council,29
2017Q3,2017,3,2017-07-01,Dublin City Council,525
2017Q3,2017,3,2017-07-01,Dún Laoghaire Rathdown County Council,179
2017Q3,2017,3,2017-07-01,Donegal County Council,95
2017Q3,2017,3,2017-07-01,Fingal County Council,568
2017Q3,2017,3,2017-07-01,Galway County Council,116
2017Q3,2017,3,2017-07-01,Galway City Council,42
2017Q3,2017,3,2017-07-01,Kildare County Council,260
2017Q3,2017,3,2017-07-01,Kilkenny County Council,56
2017Q3,2017,3,2017-07-01,Kerry County Council,84
2017Q3,2017,3,2017-07-01,Longford County Council,23
2017Q3,2017,3,2017-07-01,Louth County Council,114
2017Q3,2017,3,2017-07-01,Limerick City & County Council,95
2017Q3,2017,3,2017-07-01,Leitrim County Council,23
2017Q3,2017,3,2017-07-01,Laois County Council,24
2017Q3,2017,3,2017-07-01,Meath County Council,281
2017Q3,2017,3,2017-07-01,Monaghan County Council,39
2017Q3,2017,3,2017-07-01,Mayo County Council,59
2017Q3,2017,3,2017-07-01,Offaly County Council,36
2017Q3,2017,3,2017-07-01,Roscommon County Council,24
2017Q3,2017,3,2017-07-01,South Dublin County Council,235
2017Q3,2017,3,2017-07-01,Sligo County Council,33
2017Q3,2017,3,2017-07-01,Tipperary County Council,45
2017Q3,2017,3,2017-07-01,Waterford City & County Council,51
2017Q3,2017,3,2017-07-01,Westmeath County Council,41
2017Q3,2017,3,2017-07-01,Wicklow County Council,116
2017Q3,2017,3,2017-07-01,Wexford County Council,86
2017Q4,2017,4,2017-10-01,Cork City Council,140
2017Q4,2017,4,2017-10-01,Clare County Council,61
2017Q4,2017,4,2017-10-01,Cavan County Council,38
2017Q4,2017,4,2017-10-01,Cork County Council,312
2017Q4,2017,4,2017-10-01,Carlow County Council,27
2017Q4,2017,4,2017-10-01,Dublin City Council,485
2017Q4,2017,4,2017-10-01,Dún Laoghaire Rathdown County Council,287
2017Q4,2017,4,2017-10-01,Donegal County Council,99
2017Q4,2017,4,2017-10-01,Fingal County Council,622
2017Q4,2017,4,2017-10-01,Galway County Council,154
2017Q4,2017,4,2017-10-01,Galway City Council,31
2017Q4,2017,4,2017-10-01,Kildare County Council,316
2017Q4,2017,4,2017-10-01,Kilkenny County Council,58
2017Q4,2017,4,2017-10-01,Kerry County Council,86
2017Q4,2017,4,2017-10-01,Longford County Council,25
2017Q4,2017,4,2017-10-01,Louth County Council,120
2017Q4,2017,4,2017-10-01,Limerick City & County Council,209
2017Q4,2017,4,2017-10-01,Leitrim County Council,17
2017Q4,2017,4,2017-10-01,Laois County Council,39
2017Q4,2017,4,2017-10-01,Meath County Council,402
2017Q4,2017,4,2017-10-01,Monaghan County Council,49
2017Q4,2017,4,2017-10-01,Mayo County Council,72
2017Q4,2017,4,2017-10-01,Offaly County Council,32
2017Q4,2017,4,2017-10-01,Roscommon County Council,41
2017Q4,2017,4,2017-10-01,South Dublin County Council,347
2017Q4,2017,4,2017-10-01,Sligo County Council,47
2017Q4,2017,4,2017-10-01,Tipperary County Council,57
2017Q4,2017,4,2017-10-01,Waterford City & County Council,95
2017Q4,2017,4,2017-10-01,Westmeath County Council,40
2017Q4,2017,4,2017-10-01,Wicklow County Council,136
2017Q4,2017,4,2017-10-01,Wexford County Council,86
2018Q1,2018,1,2018-01-01,Cork City Council,120
2018Q1,2018,1,2018-01-01,Clare County Council,55
2018Q1,2018,1,2018-01-01,Cavan County Council,35
2018Q1,2018,1,2018-01-01,Cork County Council,223
2018Q1,2018,1,2018-01-01,Carlow County Council,47
2018Q1,2018,1,2018-01-01,Dublin City Council,328
2018Q1,2018,1,2018-01-01,Dún Laoghaire Rathdown County Council,212
2018Q1,2018,1,2018-01-01,Donegal County Council,86
2018Q1,2018,1,2018-01-01,Fingal County Council,410
2018Q1,2018,1,2018-01-01,Galway County Council,112
2018Q1,2018,1,2018-01-01,Galway City Council,30
2018Q1,2018,1,2018-01-01,Kildare County Council,246
2018Q1,2018,1,2018-01-01,Kilkenny County Council,29
2018Q1,2018,1,2018-01-01,Kerry County Council,92
2018Q1,2018,1,2018-01-01,Longford County Council,14
2018Q1,2018,1,2018-01-01,Louth County Council,125
2018Q1,2018,1,2018-01-01,Limerick City & County Council,125
2018Q1,2018,1,2018-01-01,Leitrim County Council,14
2018Q1,2018,1,2018-01-01,Laois County Council,34
2018Q1,2018,1,2018-01-01,Meath County Council,292
2018Q1,2018,1,2018-01-01,Monaghan County Council,24
2018Q1,2018,1,2018-01-01,Mayo County Council,69
2018Q1,2018,1,2018-01-01,Offaly County Council,26
2018Q1,2018,1,2018-01-01,Roscommon County Council,30
2018Q1,2018,1,2018-01-01,South Dublin County Council,242
2018Q1,2018,1,2018-01-01,Sligo County Council,31
2018Q1,2018,1,2018-01-01,Tipperary County Council,38
2018Q1,2018,1,2018-01-01,Waterford City & County Council,67
2018Q1,2018,1,2018-01-01,Westmeath County Council,33
2018Q1,2018,1,2018-01-01,Wicklow County Council,138
2018Q1,2018,1,2018-01-01,Wexford County Council,103
2018Q2,2018,2,2018-04-01,Cork City Council,116
2018Q2,2018,2,2018-04-01,Clare County Council,53
2018Q2,2018,2,2018-04-01,Cavan County Council,39
2018Q2,2018,2,2018-04-01,Cork County Council,324
2018Q2,2018,2,2018-04-01,Carlow County Council,44
2018Q2,2018,2,2018-04-01,Dublin City Council,308
2018Q2,2018,2,2018-04-01,Dún Laoghaire Rathdown County Council,348
2018Q2,2018,2,2018-04-01,Donegal County Council,90
2018Q2,2018,2,2018-04-01,Fingal County Council,665
2018Q2,2018,2,2018-04-01,Galway County Council,131
2018Q2,2018,2,2018-04-01,Galway City Council,41
2018Q2,2018,2,2018-04-01,Kildare County Council,271
2018Q2,2018,2,2018-04-01,Kilkenny County Council,51
2018Q2,2018,2,2018-04-01,Kerry County Council,79
2018Q2,2018,2,2018-04-01,Longford County Council,15
2018Q2,2018,2,2018-04-01,Louth County Council,148
2018Q2,2018,2,2018-04-01,Limerick City & County Council,137
2018Q2,2018,2,2018-04-01,Leitrim County Council,13
2018Q2,2018,2,2018-04-01,Laois County Council,91
2018Q2,2018,2,2018-04-01,Meath County Council,339
2018Q2,2018,2,2018-04-01,Monaghan County Council,41
2018Q2,2018,2,2018-04-01,Mayo County Council,70
2018Q2,2018,2,2018-04-01,Offaly County Council,20
2018Q2,2018,2,2018-04-01,Roscommon County Council,31
2018Q2,2018,2,2018-04-01,South Dublin County Council,466
2018Q2,2018,2,2018-04-01,Sligo County Council,36
2018Q2,2018,2,2018-04-01,Tipperary County Council,44
2018Q2,2018,2,2018-04-01,Waterford City & County Council,78
2018Q2,2018,2,2018-04-01,Westmeath County Council,27
2018Q2,2018,2,2018-04-01,Wicklow County Council,120
2018Q2,2018,2,2018-04-01,Wexford County Council,115
2018Q3,2018,3,2018-07-01,Cork City Council,156
2018Q3,2018,3,2018-07-01,Clare County Council,75
2018Q3,2018,3,2018-07-01,Cavan County Council,37
2018Q3,2018,3,2018-07-01,Cork County Council,291
2018Q3,2018,3,2018-07-01,Carlow County Council,40
2018Q3,2018,3,2018-07-01,Dublin City Council,534
2018Q3,2018,3,2018-07-01,Dún Laoghaire Rathdown County Council,367
2018Q3,2018,3,2018-07-01,Donegal County Council,124
2018Q3,2018,3,2018-07-01,Fingal County Council,514
2018Q3,2018,3,2018-07-01,Galway County Council,122
2018Q3,2018,3,2018-07-01,Galway City Council,26
2018Q3,2018,3,2018-07-01,Kildare County Council,326
2018Q3,2018,3,2018-07-01,Kilkenny County Council,52
2018Q3,2018,3,2018-07-01,Kerry County Council,117
2018Q3,2018,3,2018-07-01,Longford County Council,11
2018Q3,2018,3,2018-07-01,Louth County Council,134
2018Q3,2018,3,2018-07-01,Limerick City & County Council,109
2018Q3,2018,3,2018-07-01,Leitrim County Council,18
2018Q3,2018,3,2018-07-01,Laois County Council,52
2018Q3,2018,3,2018-07-01,Meath County Council,394
2018Q3,2018,3,2018-07-01,Monaghan County Council,32
2018Q3,2018,3,2018-07-01,Mayo County Council,81
2018Q3,2018,3,2018-07-01,Offaly County Council,23
2018Q3,2018,3,2018-07-01,Roscommon County Council,37
2018Q3,2018,3,2018-07-01,South Dublin County Council,429
2018Q3,2018,3,2018-07-01,Sligo County Council,44
2018Q3,2018,3,2018-07-01,Tipperary County Council,40
2018Q3,2018,3,2018-07-01,Waterford City & County Council,106
2018Q3,2018,3,2018-07-01,Westmeath County Council,31
2018Q3,2018,3,2018-07-01,Wicklow County Council,125
2018Q3,2018,3,2018-07-01,Wexford County Council,147
2018Q4,2018,4,2018-10-01,Cork City Council,197
2018Q4,2018,4,2018-10-01,Clare County Council,56
2018Q4,2018,4,2018-10-01,Cavan County Council,47
2018Q4,2018,4,2018-10-01,Cork County Council,308
2018Q4,2018,4,2018-10-01,Carlow County Council,97
2018Q4,2018,4,2018-10-01,Dublin City Council,634
2018Q4,2018,4,2018-10-01,Dún Laoghaire Rathdown County Council,356
2018Q4,2018,4,2018-10-01,Donegal County Council,131
2018Q4,2018,4,2018-10-01,Fingal County Council,510
2018Q4,2018,4,2018-10-01,Galway County Council,167
2018Q4,2018,4,2018-10-01,Galway City Council,37
2018Q4,2018,4,2018-10-01,Kildare County Council,381
2018Q4,2018,4,2018-10-01,Kilkenny County Council,85
2018Q4,2018,4,2018-10-01,Kerry County Council,98
2018Q4,2018,4,2018-10-01,Longford County Council,25
2018Q4,2018,4,2018-10-01,Louth County Council,184
2018Q4,2018,4,2018-10-01,Limerick City & County Council,132
2018Q4,2018,4,2018-10-01,Leitrim County Council,15
2018Q4,2018,4,2018-10-01,Laois County Council,52
2018Q4,2018,4,2018-10-01,Meath County Council,480
